,Future_Return
Future_Return,1.0
BB_Width,0.03904804215907453
ADX,0.021884470051814438
CCI,0.016401007053665848
RSI,0.009247505425075164
Stoch_K,0.00920190352307243
MACD_Hist,-0.013267945200335564
Volatility_20,-0.016950612325180255
Return_lag_5,-0.02369562101254029
CMF,-0.026993484921596846
ATR,-0.03253661580576251
OBV,-0.060084786083095684
