,Future_Return
Future_Return,1.0
Volatility_20,0.08760015720319765
BB_Width,0.06130468867750913
ATR,0.04326732435611416
ADX,0.02373819007947223
MACD_Hist,-0.0023993354014229637
OBV,-0.04116952720961081
CCI,-0.05403571572455696
Stoch_K,-0.06632205883547294
CMF,-0.07579559654668623
Return_lag_5,-0.0807785769046001
RSI,-0.09008200696304153
