,Future_Return
Future_Return,1.0
Volatility_20,0.003165155048258606
BB_Width,-0.015173124458737853
ATR,-0.019474686918040184
OBV,-0.022229224024720867
CMF,-0.04295731747965599
MACD_Hist,-0.04448439096179296
CCI,-0.05507568251746434
Stoch_K,-0.0682864861071612
Return_lag_5,-0.07596579332380535
ADX,-0.08003109518768782
RSI,-0.08545276454970571
