,Future_Return
Future_Return,1.0
Volatility_20,0.0548040513922854
BB_Width,-0.0033896869842645794
ATR,-0.00354033768515612
OBV,-0.029366543534687022
CMF,-0.0338582924417606
MACD_Hist,-0.034361282236757024
ADX,-0.056027968632489676
CCI,-0.09213938319223641
RSI,-0.09853440185358055
Stoch_K,-0.10167444890029666
Return_lag_5,-0.11263578687060542
