Date,Close,High,Low,Open,Volume
2010-01-04,15.609803199768066,15.678544409230245,15.547290223878424,15.614784268007728,78169752.0
2010-01-05,15.54106330871582,15.636951722017164,15.480044272193602,15.620513626953803,120067812.0
2010-01-06,15.149293899536133,15.587638382126231,15.101972798128717,15.587638382126231,158988852.0
2010-01-07,14.796624183654783,15.192629557395431,14.76051143817071,15.17768540323104,256315428.0
2010-01-08,14.99388027191162,15.024513652181565,14.672343200887996,14.74432191587332,188783028.0
2010-01-11,14.971217155456545,15.054651955218802,14.795131439788744,15.054651955218802,288227484.0
2010-01-12,14.706465721130373,14.897743301517414,14.644698765179598,14.885041007750196,193937868.0
2010-01-13,14.622034072875977,14.654162342794578,14.29352464851537,14.35803081124736,259604136.0
2010-01-14,14.69077491760254,14.79911600393113,14.51543713174898,14.542584334489048,169434396.0
2010-01-15,14.445452690124512,14.78317731947402,14.3966357478208,14.777697004795476,217162620.0
2010-01-19,14.63523292541504,14.70496977554252,14.353048969675584,14.4753376057118,172495332.0
2010-01-20,14.455662727355955,14.594388524120069,14.328145283998984,14.594388524120069,129897972.0
2010-01-21,14.519671440124512,14.615310233793885,14.252430659457453,14.531128467221322,252055692.0
2010-01-22,13.698522567749023,14.21133535685338,13.321197124458369,14.059409914939224,271743984.0
2010-01-25,13.449213981628418,13.695285231190628,13.337385761497623,13.613343423460666,176619204.0
2010-01-26,13.509486198425291,13.688311123747177,13.356813782510224,13.398655519633328,174045780.0
2010-01-27,13.50151538848877,13.639743834567309,13.332403938355576,13.48084319510533,158417424.0
2010-01-28,13.307002067565918,13.623557172302066,13.215099064494456,13.56104323630939,129034836.0
2010-01-29,13.198659896850586,13.47387058701347,13.090817101704763,13.41160627900656,165454380.0
2010-02-01,13.275370597839355,13.344858787063744,13.207626921697448,13.314721801538791,89941968.0
2010-02-02,13.22804832458496,13.323687117132334,13.140628105185414,13.323687117132334,163684152.0
2010-02-03,13.46963596343994,13.50151556124744,13.15607067678798,13.167029407176376,119844036.0
2010-02-04,13.11995792388916,13.399401772331636,13.089572264797738,13.37449642796483,134972892.0
2010-02-05,13.23228359222412,13.287325922298832,13.012364843989356,13.16030486854593,126113760.0
2010-02-08,13.286576271057127,13.49902528651224,13.238259529271888,13.262417900164508,107664228.0
2010-02-09,13.36054801940918,13.48731944127123,13.326426560823917,13.43775648032926,112671216.0
2010-02-10,13.310986518859863,13.39417169576249,13.142621079972526,13.301521728927147,106873020.0
2010-02-11,13.35955047607422,13.461416547903438,13.18769982650144,13.282840317291928,96303600.0
2010-02-12,13.277860641479492,13.378231833891212,13.212607502204731,13.274125789071547,91096812.0
2010-02-16,13.48159122467041,13.552075052281603,13.307249081758757,13.371257899984624,146029824.0
2010-02-17,13.404632568359377,13.533895482829228,13.3896893616231,13.499027051307978,81106812.0
2010-02-18,13.529411315917969,13.573993210004168,13.353076926381648,13.387945356754532,93382524.0
2010-02-19,13.46814250946045,13.549584121594748,13.441742275892684,13.462414470288008,102021876.0
2010-02-22,13.518950462341309,13.636008421698754,13.47411989586305,13.632271671117064,85698216.0
